账号名称,直播id,直播标题,开播时间,关播时间,直播时长,峰值人数,平均人数,收获音浪,粉丝音浪,非粉音浪,首次送礼用户音浪,送礼人数,送礼粉丝人数,送礼非粉人数,首次送礼人数,预计收入,曝光人数,观看人数,观看粉丝人数,观看非粉人数,涨粉人数,掉粉人数,加团人数,人均停留时长,粉丝人均停留时长,非粉人均停留时长,评论人数,评论粉丝人数,评论非粉人数,点赞次数,点赞粉丝次数,点赞非粉次数,分享次数,分享粉丝次数,分享非粉次数,曝光分布,观看分布,群内粉丝,群外粉丝,观看率,涨粉率,评论率,送礼率,粉丝观看率,粉丝评论率,粉丝点赞率,粉丝分享率,粉丝送礼率,群内粉丝率,创建时间
"财经葛先生","7624378637479381811","A股缩量千亿，目标3800？怎么了？怎么办？","""2026-04-03T04:03:35.000Z""","""2026-04-03T04:49:02.000Z""",45,1678,1422,641,638,3,9,344,342,2,7,"32.00",47884,10371,5690,4681,30,10,6,"5.4000","7.0700","0.6500",305,280,25,17390,17020,370,43,12,31,,,2108,3581,"0.2166","0.0029","0.0294","0.0332","0.5486","0.9180","0.9787","0.2791","0.9942","0.3705","""2026-04-03T10:47:19.000Z"""
"财经葛先生","7624091956565527322","财经葛先生正在直播","""2026-04-02T09:31:03.000Z""","""2026-04-02T10:29:20.000Z""",58,2726,2257,1882,1866,16,40,820,812,8,33,"94.00",79023,17797,7896,9901,208,8,17,"6.5000","9.4500","1.2000",766,692,74,129942,123234,6708,73,39,34,,,2714,5182,"0.2252","0.0117","0.0430","0.0461","0.4437","0.9034","0.9484","0.5342","0.9902","0.3437","""2026-04-02T14:49:21.000Z"""
"财经葛先生","7621866131535514414","黄金、A股上涨！下周会回落吗？","""2026-03-27T09:33:43.000Z""","""2026-03-27T10:34:26.000Z""",60,3462,2752,799,756,43,119,400,374,26,64,"39.00",108346,24624,8126,16498,483,9,47,"5.9000","10.3700","1.4700",545,421,124,153460,139931,13529,59,21,38,,,2532,5579,"0.2273","0.0196","0.0221","0.0162","0.3300","0.7725","0.9118","0.3559","0.9350","0.3116","""2026-03-27T10:43:29.000Z"""
"财经葛先生","7621780395316103963","黄金、有色、A股翻红！机会还是风险？","""2026-03-27T04:00:55.000Z""","""2026-03-27T04:53:28.000Z""",52,2962,2341,926,917,9,28,533,527,6,21,"46.00",68850,14551,7788,6763,112,13,13,"7.7000","9.9000","1.0800",903,848,55,137013,135809,1204,96,36,60,,,2818,4970,"0.2113","0.0077","0.0621","0.0366","0.5352","0.9391","0.9912","0.3750","0.9887","0.3618","""2026-03-27T10:44:05.000Z"""
"财经葛先生","7621494509842647817","黄金、白银、A股跳水！到底咋办啊？","""2026-03-26T09:31:37.000Z""","""2026-03-26T10:23:26.000Z""",51,4026,3176,546,514,32,95,370,348,22,55,"27.00",139263,25440,8705,16735,623,12,36,"5.6500","9.2300","1.6300",1357,1059,298,164797,152674,12123,78,30,48,,,2673,6032,"0.1827","0.0245","0.0533","0.0145","0.3422","0.7804","0.9264","0.3846","0.9405","0.3071","""2026-03-26T14:50:23.000Z"""
"财经葛先生","7621411474912594714","A股、黄金反弹结束！后市如何操作？","""2026-03-26T04:09:24.000Z""","""2026-03-26T04:55:46.000Z""",46,3201,2358,938,927,11,41,499,492,7,30,"46.00",80892,14272,7535,6737,131,7,17,"6.9200","8.8700","1.1200",768,705,63,123669,120730,2939,72,36,36,,,2588,4947,"0.1764","0.0092","0.0538","0.0350","0.5280","0.9180","0.9762","0.5000","0.9860","0.3435","""2026-03-26T14:51:02.000Z"""
"财经葛先生","7621123069392014106","A股、黄金终于反弹！如何去布局呢?","""2026-03-25T09:30:11.000Z""","""2026-03-25T10:23:36.000Z""",53,4027,3026,701,696,5,84,244,241,3,42,"35.00",150878,30175,9390,20785,472,16,30,"4.4700","8.6500","0.9300",1030,890,140,122674,118938,3736,32,27,5,,,2686,6704,"0.2000","0.0156","0.0341","0.0081","0.3112","0.8641","0.9695","0.8438","0.9877","0.2860","""2026-03-26T02:29:47.000Z"""
"财经葛先生","7621038194691230514","A股、黄金终于反弹！如何去布局呢?","""2026-03-25T04:00:46.000Z""","""2026-03-25T04:52:10.000Z""",51,4875,3750,1136,1124,12,132,647,639,8,83,"56.00",207807,28819,10535,18284,648,18,56,"5.8700","10.0800","1.1000",1381,1173,208,188176,183877,4299,85,63,22,,,3233,7302,"0.1387","0.0225","0.0479","0.0225","0.3656","0.8494","0.9772","0.7412","0.9876","0.3069","""2026-03-26T02:30:27.000Z"""
"财经葛先生","7620752105975843593","黄金、A股反弹！能抄底了吗？","""2026-03-24T09:30:48.000Z""","""2026-03-24T10:26:08.000Z""",55,3763,2941,937,934,3,92,403,401,2,52,"46.00",199890,26577,9885,16692,438,17,36,"5.4200","9.2000","1.0500",1180,1036,144,138769,137459,1310,59,49,10,,,3020,6865,"0.1330","0.0165","0.0444","0.0152","0.3719","0.8780","0.9906","0.8305","0.9950","0.3055","""2026-03-26T02:31:04.000Z"""
"财经葛先生","7620667034346736411","黄金、A股反弹！能抄底了吗？","""2026-03-24T04:00:22.000Z""","""2026-03-24T04:47:58.000Z""",47,5281,3802,1561,1558,3,163,645,642,3,50,"78.00",192124,26898,10359,16539,554,12,30,"5.9200","10.3200","1.0000",1301,1164,137,186767,182930,3837,83,68,15,,,3241,7118,"0.1400","0.0206","0.0484","0.0240","0.3851","0.8947","0.9795","0.8193","0.9953","0.3129","""2026-03-26T02:31:41.000Z"""
"财经葛先生","7620380987691780915","黄金、A股暴跌！ 明天要跑吗？","""2026-03-23T09:30:29.000Z""","""2026-03-23T10:23:36.000Z""",53,8282,6125,1832,1808,24,284,789,776,13,164,"91.00",631222,65450,14949,50501,2652,18,110,"4.1500","9.9500","1.2000",2278,1706,572,232066,220629,11437,204,128,76,,,3853,11096,"0.1037","0.0405","0.0348","0.0121","0.2284","0.7489","0.9507","0.6275","0.9835","0.2577","""2026-03-26T02:32:18.000Z"""
